,Year,Taxon,Class,Importer,Exporter,Purpose,Source
0,2016,Aquila heliaca,Aves,TR,NL,T,C
1,2016,Aquila heliaca,Aves,XV,RS,Q,O
2,2016,Haliaeetus albicilla,Aves,BE,NO,S,W
3,2016,Haliaeetus albicilla,Aves,BE,NO,S,W
4,2016,Haliaeetus albicilla,Aves,DK,IS,S,W
5,2016,Haliaeetus albicilla,Aves,XV,RS,Q,O
6,2016,Harpia harpyja,Aves,BR,FR,S,C
7,2016,Harpia harpyja,Aves,BR,FR,S,U
8,2016,Harpia harpyja,Aves,BR,FR,S,W
9,2016,Acipenser brevirostrum,Actinopteri,CH,DE,T,C
10,2016,Acipenser sturio,Actinopteri,US,IR,P,I
11,2016,Ailurus fulgens,Mammalia,AU,NZ,Z,C
12,2016,Ailurus fulgens,Mammalia,CA,US,Z,F
13,2016,Ailurus fulgens,Mammalia,IL,DE,Z,C
14,2016,Ailurus fulgens,Mammalia,JP,US,B,C
15,2016,Ailurus fulgens,Mammalia,JP,US,Z,C
16,2016,Ailurus fulgens,Mammalia,KP,CN,E,U
17,2016,Ailurus fulgens,Mammalia,KR,CN,E,C
18,2016,Ailurus fulgens,Mammalia,KR,JP,Z,C
19,2016,Ailurus fulgens,Mammalia,US,CA,Z,C
20,2016,Alligator sinensis,Reptilia,KP,CN,E,U
21,2016,Melanosuchus niger,Reptilia,US,DK,Z,F
22,2016,Anas laysanensis,Aves,CA,US,S,I
23,2016,Anas laysanensis,Aves,MC,FR,Z,I
24,2016,Asarcornis scutulata,Aves,GB,JE,S,C
25,2016,Asarcornis scutulata,Aves,GB,JE,S,C
26,2016,Branta sandvicensis,Aves,CN,GB,Q,C
27,2016,Branta sandvicensis,Aves,MC,FR,Z,I
28,2016,Branta sandvicensis,Aves,SG,NL,T,C
29,2016,Branta sandvicensis,Aves,SG,NL,Z,C
30,2016,Branta sandvicensis,Aves,ZA,NL,T,C
31,2016,Antilocapra americana,Mammalia,BE,CH,Q,O
32,2016,Antilocapra americana,Mammalia,CH,BE,Q,O
44,2016,Oreonax flavicauda,Mammalia,DE,PE,S,W
45,2016,Oreonax flavicauda,Mammalia,DE,PE,S,W
46,2016,Balaena mysticetus,Mammalia,AT,CH,S,O
47,2016,Balaena mysticetus,Mammalia,AT,CH,S,W
48,2016,Balaena mysticetus,Mammalia,CA,GL,S,W
49,2016,Balaena mysticetus,Mammalia,CA,US,P,I
50,2016,Balaena mysticetus,Mammalia,CA,US,P,W
51,2016,Balaena mysticetus,Mammalia,CA,US,P,I
52,2016,Balaena mysticetus,Mammalia,DE,CH,P,O
53,2016,Balaena mysticetus,Mammalia,DE,RU,Q,O
54,2016,Balaena mysticetus,Mammalia,DK,GL,P,W
55,2016,Balaena mysticetus,Mammalia,NL,NO,S,W
56,2016,Balaena mysticetus,Mammalia,NL,US,Q,O
57,2016,Balaena mysticetus,Mammalia,NO,GL,S,W
58,2016,Balaena mysticetus,Mammalia,RU,US,S,W
59,2016,Balaena mysticetus,Mammalia,US,CA,P,W
60,2016,Balaena mysticetus,Mammalia,US,CA,P,O
61,2016,Balaena mysticetus,Mammalia,US,NL,Q,O
62,2016,Balaena mysticetus,Mammalia,US,NL,Q,O
63,2016,Balaenidae spp.,Mammalia,FR,TN,E,O
64,2016,Balaenidae spp.,Mammalia,XX,TN,E,O
65,2016,Eubalaena spp.,Mammalia,FR,CH,Q,O
66,2016,Eubalaena spp.,Mammalia,FR,TN,E,O
67,2016,Eubalaena spp.,Mammalia,XX,TN,E,O
68,2016,Eubalaena australis,Mammalia,GB,US,S,W
69,2016,Eubalaena australis,Mammalia,JP,ZZ,S,X
70,2016,Eubalaena australis,Mammalia,XX,TN,E,O
71,2016,Eubalaena glacialis,Mammalia,CA,US,S,W
72,2016,Balaenoptera spp.,Mammalia,NL,CV,S,U
73,2016,Balaenoptera spp.,Mammalia,NL,CV,S,U
74,2016,Balaenoptera acutorostrata,Mammalia,FO,NO,T,W
75,2016,Balaenoptera acutorostrata,Mammalia,IS,NO,S,W
76,2016,Balaenoptera acutorostrata,Mammalia,JP,NO,T,W
77,2016,Balaenoptera acutorostrata,Mammalia,JP,ZZ,S,X
78,2016,Balaenoptera acutorostrata,Mammalia,KR,CN,E,W
79,2016,Balaenoptera acutorostrata,Mammalia,US,AU,S,W
80,2016,Balaenoptera acutorostrata,Mammalia,US,DE,P,I
81,2016,Balaenoptera acutorostrata,Mammalia,US,FI,P,I
82,2016,Balaenoptera acutorostrata,Mammalia,US,IS,P,I
83,2016,Balaenoptera acutorostrata,Mammalia,US,IS,P,I
84,2016,Balaenoptera acutorostrata,Mammalia,US,IS,P,I
85,2016,Balaenoptera acutorostrata,Mammalia,US,NO,P,I
86,2016,Balaenoptera acutorostrata,Mammalia,US,NO,P,I
87,2016,Balaenoptera acutorostrata,Mammalia,US,NO,P,I
88,2016,Balaenoptera acutorostrata,Mammalia,US,NO,P,I
89,2016,Balaenoptera acutorostrata,Mammalia,US,NO,P,W
90,2016,Balaenoptera acutorostrata,Mammalia,US,NO,T,I
91,2016,Balaenoptera acutorostrata,Mammalia,US,RU,P,I
92,2016,Balaenoptera acutorostrata,Mammalia,US,SE,P,I
93,2016,Balaenoptera acutorostrata,Mammalia,US,XX,P,I
94,2016,Balaenoptera bonaerensis,Mammalia,JP,ZZ,S,X
95,2016,Balaenoptera bonaerensis,Mammalia,JP,ZZ,S,X
96,2016,Balaenoptera bonaerensis,Mammalia,US,AQ,S,W
97,2016,Balaenoptera bonaerensis,Mammalia,US,CA,P,W
98,2016,Balaenoptera borealis,Mammalia,DE,CL,S,W
99,2016,Balaenoptera borealis,Mammalia,JP,ZZ,S,X
100,2016,Balaenoptera borealis,Mammalia,JP,ZZ,S,X
101,2016,Balaenoptera borealis,Mammalia,US,AU,S,W
102,2016,Balaenoptera borealis,Mammalia,US,JP,S,W
103,2016,Balaenoptera borealis,Mammalia,US,JP,S,W
104,2016,Balaenoptera edeni,Mammalia,JP,ZZ,S,X
105,2016,Balaenoptera edeni,Mammalia,JP,ZZ,S,X
106,2016,Balaenoptera edeni,Mammalia,US,JP,S,W
107,2016,Balaenoptera edeni,Mammalia,US,JP,S,W
108,2016,Balaenoptera musculus,Mammalia,ES,IS,S,W
109,2016,Balaenoptera musculus,Mammalia,JP,ZZ,S,X
110,2016,Balaenoptera musculus,Mammalia,NL,NO,S,W
111,2016,Balaenoptera musculus,Mammalia,US,JP,P,I
112,2016,Balaenoptera musculus,Mammalia,US,JP,S,W
113,2016,Balaenoptera musculus,Mammalia,US,JP,S,W
114,2016,Balaenoptera musculus,Mammalia,US,MX,P,I
115,2016,Balaenoptera musculus,Mammalia,US,NZ,S,W
116,2016,Balaenoptera physalus,Mammalia,CA,US,S,W
117,2016,Balaenoptera physalus,Mammalia,DK,GL,P,W
118,2016,Balaenoptera physalus,Mammalia,ES,GL,S,W
119,2016,Balaenoptera physalus,Mammalia,ES,GL,S,W
120,2016,Balaenoptera physalus,Mammalia,ES,IS,S,W
121,2016,Balaenoptera physalus,Mammalia,JP,ZZ,S,X
122,2016,Balaenoptera physalus,Mammalia,NL,NO,S,W
123,2016,Balaenoptera physalus,Mammalia,US,GB,S,W
124,2016,Balaenoptera physalus,Mammalia,US,JP,S,W
125,2016,Balaenoptera physalus,Mammalia,US,JP,S,W
126,2016,Megaptera novaeangliae,Mammalia,CA,US,S,W
127,2016,Megaptera novaeangliae,Mammalia,DE,VC,P,W
128,2016,Megaptera novaeangliae,Mammalia,DK,GL,P,W
129,2016,Megaptera novaeangliae,Mammalia,DK,GL,P,W
130,2016,Megaptera novaeangliae,Mammalia,DK,GL,S,W
131,2016,Megaptera novaeangliae,Mammalia,ES,IS,S,W
132,2016,Megaptera novaeangliae,Mammalia,FR,MG,S,W
133,2016,Megaptera novaeangliae,Mammalia,FR,TN,E,W
134,2016,Megaptera novaeangliae,Mammalia,GB,US,Q,O
135,2016,Megaptera novaeangliae,Mammalia,JP,ZZ,S,X
136,2016,Megaptera novaeangliae,Mammalia,NL,NO,S,W
137,2016,Megaptera novaeangliae,Mammalia,SE,GL,S,W
138,2016,Megaptera novaeangliae,Mammalia,US,AQ,S,W
139,2016,Megaptera novaeangliae,Mammalia,US,AQ,S,W
140,2016,Megaptera novaeangliae,Mammalia,US,AU,S,W
141,2016,Megaptera novaeangliae,Mammalia,US,CA,S,W
142,2016,Megaptera novaeangliae,Mammalia,US,GB,S,W
143,2016,Megaptera novaeangliae,Mammalia,US,NZ,S,W
144,2016,Megaptera novaeangliae,Mammalia,US,OM,S,W
145,2016,Megaptera novaeangliae,Mammalia,XX,TN,E,O
147,2016,Acrantophis dumerili,Reptilia,ID,FR,Z,F
148,2016,Acrantophis dumerili,Reptilia,IR,DE,T,C
149,2016,Acrantophis dumerili,Reptilia,XX,IT,Q,C
150,2016,Sanzinia madagascariensis,Reptilia,ID,FR,Z,F
151,2016,Addax nasomaculatus,Mammalia,AR,US,H,F
