,Taxon,Class,Importer,Exporter,Purpose,Source,order,phylum
0,Vicugna vicugna,Mammalia,BY,RU,Z,C,Artiodactyla,Chordata
1,Vicugna vicugna,Mammalia,CA,IT,T,W,Artiodactyla,Chordata
2,Vicugna vicugna,Mammalia,CH,IT,T,W,Artiodactyla,Chordata
3,Vicugna vicugna,Mammalia,CN,IT,T,W,Artiodactyla,Chordata
4,Vicugna vicugna,Mammalia,DE,CH,B,C,Artiodactyla,Chordata
5,Vicugna vicugna,Mammalia,FR,CH,T,W,Artiodactyla,Chordata
6,Vicugna vicugna,Mammalia,FR,CH,T,W,Artiodactyla,Chordata
7,Vicugna vicugna,Mammalia,FR,CH,T,W,Artiodactyla,Chordata
8,Vicugna vicugna,Mammalia,MX,FR,T,C,Artiodactyla,Chordata
9,Vicugna vicugna,Mammalia,RU,CZ,Z,C,Artiodactyla,Chordata
10,Vicugna vicugna,Mammalia,TR,IT,T,W,Artiodactyla,Chordata
11,Vicugna vicugna,Mammalia,US,IT,T,W,Artiodactyla,Chordata
12,Vicugna vicugna,Mammalia,AD,IT,T,W,Artiodactyla,Chordata
13,Vicugna vicugna,Mammalia,AD,IT,T,W,Artiodactyla,Chordata
14,Vicugna vicugna,Mammalia,AD,IT,T,W,Artiodactyla,Chordata
15,Vicugna vicugna,Mammalia,AD,IT,T,W,Artiodactyla,Chordata
16,Vicugna vicugna,Mammalia,AD,IT,T,W,Artiodactyla,Chordata
17,Vicugna vicugna,Mammalia,AE,FR,T,C,Artiodactyla,Chordata
18,Vicugna vicugna,Mammalia,AE,FR,T,W,Artiodactyla,Chordata
19,Vicugna vicugna,Mammalia,AE,GB,T,W,Artiodactyla,Chordata
20,Vicugna vicugna,Mammalia,AE,IT,T,C,Artiodactyla,Chordata
21,Vicugna vicugna,Mammalia,AE,IT,T,W,Artiodactyla,Chordata
22,Vicugna vicugna,Mammalia,AE,IT,T,W,Artiodactyla,Chordata
23,Vicugna vicugna,Mammalia,AE,IT,T,W,Artiodactyla,Chordata
24,Vicugna vicugna,Mammalia,AE,IT,T,W,Artiodactyla,Chordata
25,Vicugna vicugna,Mammalia,AR,IT,P,W,Artiodactyla,Chordata
26,Vicugna vicugna,Mammalia,AR,PE,T,W,Artiodactyla,Chordata
27,Vicugna vicugna,Mammalia,AU,GB,T,W,Artiodactyla,Chordata
28,Vicugna vicugna,Mammalia,AU,IT,P,W,Artiodactyla,Chordata
29,Vicugna vicugna,Mammalia,AU,IT,T,W,Artiodactyla,Chordata
30,Vicugna vicugna,Mammalia,AU,IT,P,W,Artiodactyla,Chordata
31,Vicugna vicugna,Mammalia,AZ,IT,P,W,Artiodactyla,Chordata
32,Vicugna vicugna,Mammalia,AZ,IT,T,W,Artiodactyla,Chordata
33,Vicugna vicugna,Mammalia,BH,IT,T,W,Artiodactyla,Chordata
34,Vicugna vicugna,Mammalia,BR,IT,P,W,Artiodactyla,Chordata
35,Vicugna vicugna,Mammalia,BR,IT,T,W,Artiodactyla,Chordata
36,Vicugna vicugna,Mammalia,BR,IT,P,W,Artiodactyla,Chordata
37,Vicugna vicugna,Mammalia,CA,FR,T,W,Artiodactyla,Chordata
38,Vicugna vicugna,Mammalia,CA,IT,T,W,Artiodactyla,Chordata
39,Vicugna vicugna,Mammalia,CA,IT,P,W,Artiodactyla,Chordata
40,Vicugna vicugna,Mammalia,CA,IT,T,W,Artiodactyla,Chordata
41,Vicugna vicugna,Mammalia,CA,IT,T,W,Artiodactyla,Chordata
42,Vicugna vicugna,Mammalia,CA,IT,T,W,Artiodactyla,Chordata
43,Vicugna vicugna,Mammalia,CA,IT,T,W,Artiodactyla,Chordata
